iter	Passed	Remaining
406	5752	8380
407	5765	8365
408	5779	8351
409	5792	8335
410	5805	8319
411	5818	8303
412	5832	8289
413	5845	8273
414	5858	8258
415	5870	8241
416	5883	8225
417	5896	8210
418	5909	8194
419	5924	8181
420	5938	8167
421	5953	8153
422	5967	8139
423	5981	8126
424	5996	8113
425	6010	8098
426	6024	8084
427	6039	8071
428	6053	8057
429	6067	8043
430	6082	8029
431	6096	8015
432	6110	8001
433	6124	7987
434	6138	7972
435	6153	7960
436	6167	7945
437	6181	7932
438	6197	7919
439	6211	7905
440	6225	7891
441	6240	7877
442	6254	7864
443	6269	7850
444	6284	7838
445	6298	7823
446	6310	7806
447	6323	7791
448	6336	7776
449	6350	7761
450	6363	7745
451	6376	7730
452	6389	7714
453	6402	7700
454	6416	7685
455	6429	7670
456	6442	7654
457	6456	7640
458	6469	7625
459	6482	7610
460	6495	7594
461	6508	7579
462	6521	7564
463	6534	7548
464	6548	7533
465	6561	7519
466	6575	7504
467	6588	7489
468	6600	7473
469	6613	7458
470	6627	7443
471	6640	7428
472	6653	7413
473	6667	7398
474	6680	7384
475	6695	7370
476	6709	7356
477	6723	7342
478	6738	7329
479	6752	7315
480	6765	7300
481	6780	7287
482	6794	7272
483	6808	7258
484	6822	7244
485	6836	7229
486	6849	7215
487	6863	7201
488	6877	7187
489	6891	7172
490	6906	7160
491	6920	7146
492	6935	7132
493	6949	7118
494	6963	7103
495	6976	7089
496	6991	7075
497	7004	7061
498	7018	7046
499	7032	7032
500	7047	7019
501	7062	7005
502	7076	6991
503	7089	6977
504	7103	6962
505	7116	6948
506	7130	6933
507	7144	6919
508	7158	6904
509	7171	6889
510	7184	6874
511	7197	6859
512	7210	6844
513	7222	6829
514	7235	6814
515	7248	6799
516	7262	6784
517	7276	6770
518	7290	6757
519	7304	6742
520	7319	6729
521	7333	6715
522	7348	6701
523	7362	6688
524	7376	6674
525	7390	6660
526	7404	6646
527	7418	6632
528	7433	6618
529	7447	6604
530	7463	6592
531	7477	6578
532	7492	6565
533	7506	6550
534	7521	6537
535	7535	6523
536	7549	6509
537	7563	6495
538	7578	6481
539	7592	6467
540	7606	6453
541	7621	6440
542	7636	6427
543	7651	6413
544	7664	6398
545	7677	6384
546	7691	6370
547	7706	6356
548	7719	6341
549	7733	6327
550	7745	6311
551	7758	6296
552	7771	6282
553	7784	6266
554	7798	6252
555	7812	6238
556	7825	6223
557	7838	6209
558	7852	6194
559	7865	6180
560	7879	6165
561	7892	6151
562	7905	6136
563	7920	6122
564	7934	6108
565	7947	6094
566	7961	6079
567	7974	6065
568	7987	6050
569	8000	6035
570	8014	6021
571	8028	6006
572	8041	5992
573	8057	5979
574	8071	5965
575	8085	5951
576	8099	5937
577	8114	5924
578	8128	5910
579	8142	5896
580	8157	5882
581	8171	5868
582	8185	5854
583	8198	5840
584	8213	5826
585	8227	5812
586	8240	5797
587	8255	5784
588	8270	5770
589	8283	5756
590	8297	5742
591	8310	5727
592	8323	5712
593	8337	5698
594	8350	5684
595	8364	5669
596	8378	5655
597	8391	5641
598	8405	5626
599	8418	5612
600	8430	5597
601	8444	5582
602	8457	5568
603	8471	5553
604	8484	5539
605	8497	5524
606	8510	5509
607	8523	5495
608	8537	5481
609	8550	5466
610	8564	5452
611	8577	5437
612	8591	5423
613	8604	5409
614	8619	5395
615	8634	5382
616	8651	5370
617	8667	5357
618	8683	5344
619	8699	5331
620	8715	5318
621	8730	5305
622	8746	5292
623	8760	5278
624	8776	5265
625	8792	5252
626	8806	5239
627	8823	5226
628	8847	5218
629	8864	5206
630	8882	5194
631	8898	5181
632	8917	5170
633	8936	5159
634	8955	5147
635	8982	5140
636	9002	5130
637	9019	5117
638	9034	5104
639	9051	5091
640	9067	5078
641	9082	5064
642	9098	5051
643	9114	5038
644	9134	5027
645	9154	5016
646	9173	5004
647	9188	4991
648	9202	4977
649	9217	4963
650	9232	4949
651	9246	4935
652	9260	4921
653	9274	4906
654	9288	4892
655	9302	4877
656	9315	4863
657	9329	4848
658	9342	4834
659	9355	4819
660	9367	4804
661	9380	4789
662	9393	4774
663	9407	4760
664	9420	4745
665	9433	4730
666	9446	4716
667	9460	4701
668	9474	4687
669	9488	4673
670	9502	4659
671	9515	4644
672	9529	4630
673	9542	4615
674	9555	4600
675	9569	4586
676	9582	4571
677	9595	4557
678	9609	4542
679	9622	4528
680	9635	4513
681	9649	4499
682	9662	4484
683	9676	4470
684	9689	4455
685	9702	4441
686	9716	4426
687	9729	4412
688	9743	4397
689	9756	4383
690	9769	4368
691	9782	4353
692	9795	4339
693	9809	4325
694	9822	4310
695	9835	4296
696	9849	4281
697	9863	4267
698	9876	4252
699	9890	4238
700	9903	4224
701	9917	4209
702	9931	4195
703	9944	4181
704	9958	4167
705	9972	4152
706	9986	4138
707	10001	4125
708	10020	4112
709	10041	4101
710	10058	4088
711	10073	4074
712	10091	4061
713	10107	4048
714	10123	4035
715	10138	4021
716	10153	4007
717	10169	3994
718	10184	3980
719	10198	3966
720	10212	3951
721	10226	3937
722	10242	3924
723	10257	3910
724	10272	3896
725	10286	3882
726	10301	3868
727	10320	3856
728	10349	3847
729	10370	3835
730	10395	3825
731	10417	3813
732	10436	3801
733	10455	3789
734	10475	3776
735	10491	3763
736	10512	3751
737	10528	3737
738	10544	3723
739	10558	3709
740	10574	3696
741	10588	3681
742	10603	3667
743	10618	3653
744	10634	3639
745	10649	3625
746	10739	3637
747	10940	3685
748	10980	3679
749	10997	3665
750	11013	3651
751	11027	3636
752	11041	3621
753	11054	3606
754	11068	3591
755	11083	3577
756	11096	3562
757	11110	3547
758	11124	3532
759	11138	3517
760	11152	3502
761	11165	3487
762	11179	3472
763	11192	3457
764	11205	3442
765	11219	3427
766	11233	3412
767	11247	3397
768	11262	3383
769	11276	3368
770	11289	3353
771	11303	3338
772	11317	3323
773	11330	3308
774	11345	3293
775	11359	3279
776	11373	3264
777	11388	3249
778	11403	3235
779	11418	3220
780	11433	3206
781	11450	3192
782	11465	3177
783	11482	3163
784	11502	3150
785	11518	3136
786	11534	3121
787	11550	3107
788	11565	3093
789	11580	3078
790	11597	3064
791	11611	3049
792	11627	3035
793	11641	3020
794	11656	3005
795	11673	2991
796	11688	2977
797	11704	2962
798	11719	2948
799	11734	2933
800	11752	2919
801	11768	2905
802	11782	2890
803	11796	2875
804	11811	2861
805	11826	2846
806	11840	2831
807	11855	2817
808	11873	2803
809	11889	2788
810	11906	2774
811	11923	2760
812	11938	2746
813	11953	2731
814	11969	2717
815	11987	2702
816	12004	2688
817	12019	2674
818	12034	2659
819	12048	2644
820	12062	2629
821	12075	2614
822	12088	2599
823	12102	2585
824	12115	2569
825	12128	2554
826	12141	2539
827	12153	2524
828	12167	2509
829	12179	2494
830	12193	2479
831	12206	2464
832	12220	2449
833	12234	2435
834	12247	2420
835	12260	2405
836	12274	2390
837	12287	2375
838	12300	2360
839	12313	2345
840	12326	2330
841	12339	2315
842	12353	2300
843	12366	2285
844	12379	2270
845	12392	2255
846	12406	2240
847	12419	2226
848	12434	2211
849	12448	2196
850	12462	2182
851	12478	2167
852	12492	2152
853	12507	2138
854	12522	2123
855	12536	2108
856	12553	2094
857	12568	2080
858	12583	2065
859	12598	2050
860	12614	2036
861	12627	2021
862	12641	2006
863	12656	1992
864	12670	1977
865	12684	1962
866	12697	1947
867	12710	1932
868	12725	1918
869	12739	1903
870	12752	1888
871	12767	1874
872	12783	1859
873	12797	1844
874	12812	1830
875	12826	1815
876	12841	1801
877	12857	1786
878	12871	1771
879	12885	1757
880	12899	1742
881	12913	1727
882	12928	1713
883	12942	1698
884	12958	1683
885	12973	1669
886	12987	1654
887	13002	1639
888	13017	1625
889	13033	1610
890	13048	1596
891	13063	1581
892	13077	1566
893	13091	1552
894	13106	1537
895	13120	1522
896	13135	1508
897	13148	1493
898	13162	1478
899	13175	1463
900	13189	1449
901	13203	1434
902	13216	1419
903	13230	1404
904	13243	1390
905	13257	1375
906	13271	1360
907	13285	1346
908	13298	1331
909	13311	1316
910	13324	1301
911	13337	1286
912	13350	1272
913	13364	1257
914	13377	1242
915	13390	1227
916	13404	1213
917	13417	1198
918	13430	1183
919	13444	1169
920	13458	1154
921	13471	1139
922	13485	1124
923	13498	1110
924	13511	1095
925	13524	1080
926	13537	1066
927	13552	1051
928	13564	1036
929	13577	1021
930	13591	1007
931	13605	992
932	13619	978
933	13633	963
934	13646	948
935	13659	933
936	13672	919
937	13685	904
938	13699	889
939	13712	875
940	13725	860
941	13739	845
942	13752	831
943	13765	816
944	13778	801
945	13791	787
946	13804	772
947	13817	757
948	13829	743
949	13843	728
950	13855	713
951	13868	699
952	13881	684
953	13894	669
954	13908	655
955	13920	640
956	13933	626
957	13946	611
958	13959	596
959	13972	582
960	13985	567
961	13998	552
962	14012	538
963	14024	523
964	14037	509
965	14050	494
966	14063	479
967	14077	465
968	14090	450
969	14103	436
970	14116	421
971	14129	407
972	14144	392
973	14159	377
974	14173	363
975	14188	348
976	14203	334
977	14217	319
978	14231	305
979	14245	290
980	14260	276
981	14275	261
982	14288	247
983	14303	232
984	14318	218
985	14333	203
986	14348	188
987	14362	174
988	14376	159
989	14392	145
990	14407	130
991	14421	116
992	14436	101
993	14451	87
994	14466	72
995	14482	58
996	14495	43
997	14509	29
998	14522	14
999	14536	0
