iter	RMSE
0	102.1413162
1	84.99132984
2	76.73468621
3	72.11060648
4	69.21993694
5	66.2927871
6	64.41046651
7	62.76738587
8	61.76951217
9	60.06013194
10	59.13909046
11	58.01054425
12	56.76593036
13	55.89404063
14	54.97419558
15	54.22371551
16	53.50142701
17	52.79616563
18	51.99714923
19	51.48277876
20	50.97940494
21	50.71690387
22	50.17681373
23	49.52760999
24	48.77867567
25	48.2494844
26	47.77788201
27	47.2555636
28	46.95877495
29	46.74681741
30	46.28817
31	45.9294065
32	45.76705984
33	45.40664423
34	45.12512396
35	44.60899754
36	44.20139704
37	43.92695424
38	43.86053202
39	43.4312164
40	43.14697679
41	42.97231111
42	42.71414725
43	42.46347424
44	42.27273587
45	42.0842148
46	41.83391885
47	41.63988799
48	41.43374108
49	41.21777349
50	41.11464804
51	40.96975928
52	40.75062488
53	40.5218928
54	40.27232794
55	40.04858466
56	39.90628301
57	39.80819404
58	39.56839617
59	39.30006716
60	39.14528355
61	39.01765274
62	38.81224314
63	38.6689365
64	38.48631795
65	38.37945242
66	38.26834442
67	38.11149426
68	37.94946519
69	37.81637201
70	37.65580009
71	37.60953893
72	37.447913
73	37.27225108
74	37.17576333
75	37.02690188
76	36.92753839
77	36.88870905
78	36.69814443
79	36.56581151
80	36.42561753
81	36.34809553
82	36.2297084
83	36.10884171
84	35.9806935
85	35.82757019
86	35.72310241
87	35.61266198
88	35.51640576
89	35.4479087
90	35.33797512
91	35.25588795
92	35.20072372
93	35.18916136
94	35.12237923
95	35.01352636
96	34.92052627
97	34.84590525
98	34.68397272
99	34.60724913
100	34.54390467
101	34.47330424
102	34.36890695
103	34.30119197
104	34.14166006
105	34.00235402
106	33.9229235
107	33.87660947
108	33.79703286
109	33.72003983
110	33.63135672
111	33.54093788
112	33.47127785
113	33.46397275
114	33.41169051
115	33.30205678
116	33.22751075
117	33.14203697
118	33.09528235
119	33.05244186
120	32.99002054
121	32.90391183
122	32.80496607
123	32.7415935
124	32.68862509
125	32.62211924
126	32.54564923
127	32.46226344
128	32.40832304
129	32.3388321
130	32.30765616
131	32.23639459
132	32.2326697
133	32.20755053
134	32.11748542
135	32.09103131
136	31.98557499
137	31.93100649
138	31.87127341
139	31.8074568
140	31.76116241
141	31.67139682
142	31.59907842
143	31.53461568
144	31.48672882
145	31.4455263
146	31.37340466
147	31.28874898
148	31.22470901
149	31.12932525
150	31.08255029
151	31.02667141
152	30.96469217
153	30.92061611
154	30.8200524
155	30.74158948
156	30.68119379
157	30.6169547
158	30.57854906
159	30.54390212
160	30.48541267
161	30.44503638
162	30.39527207
163	30.36420779
164	30.27910912
165	30.24391855
166	30.20406414
167	30.20051085
168	30.12979656
169	30.10439607
170	30.06219581
171	30.00513828
172	29.94614743
173	29.87181993
174	29.82047754
175	29.79429463
176	29.74466389
177	29.7325497
178	29.6999761
179	29.64916461
180	29.61445522
181	29.58896795
182	29.53776181
183	29.50192367
184	29.45733291
185	29.42107497
186	29.38146678
187	29.35124458
188	29.31850181
189	29.27428626
190	29.21742993
191	29.1958468
192	29.17120268
193	29.12273308
194	29.06536192
195	29.02467033
196	28.99216875
197	28.9796818
198	28.93570177
199	28.89233161
200	28.84674678
201	28.81533875
202	28.78969801
203	28.74637451
204	28.71873211
205	28.6929136
206	28.66183522
207	28.63453823
208	28.57466967
209	28.50148247
210	28.43996123
211	28.39364414
212	28.35859472
213	28.3096994
214	28.26752206
215	28.22020368
216	28.18001493
217	28.13189862
218	28.10859776
219	28.07738519
220	28.04168204
221	28.02494166
222	27.99463667
223	27.985534
224	27.98127624
225	27.96162768
226	27.92482172
227	27.88606574
228	27.85551427
229	27.809511
230	27.78521818
231	27.76277314
232	27.73015156
233	27.67997439
234	27.64354188
235	27.62208867
236	27.59109339
237	27.57912802
238	27.54785141
239	27.53126996
240	27.49474529
241	27.47127035
242	27.43456381
243	27.39450558
244	27.35691908
245	27.32324287
246	27.2838076
247	27.26500331
248	27.25079814
249	27.22440437
250	27.18139616
251	27.13346476
252	27.09992142
253	27.07465134
254	27.03520653
255	27.02074792
256	26.99958611
257	26.96867538
258	26.9383851
259	26.89631286
260	26.85743367
261	26.82871212
262	26.80236881
263	26.77946246
264	26.74756741
265	26.73042215
266	26.69350727
267	26.6762539
268	26.66094722
269	26.65927954
270	26.63136548
271	26.601657
272	26.55659107
273	26.53987722
274	26.51735803
275	26.48642618
276	26.4644639
277	26.42187083
278	26.38766856
279	26.37118802
280	26.33831841
281	26.31697265
282	26.28997104
283	26.28075253
284	26.26058873
285	26.25226126
286	26.23414515
287	26.21313972
288	26.17815611
289	26.17066379
290	26.15098791
291	26.12839108
292	26.08311107
293	26.06700837
294	26.03923144
295	26.01806319
296	26.00070867
297	25.9824963
298	25.9647556
299	25.94897994
300	25.90754404
301	25.89409877
302	25.87263734
303	25.85655623
304	25.85526276
305	25.83597273
306	25.78538639
307	25.76908855
308	25.75922754
309	25.73361468
310	25.69806286
311	25.68915974
312	25.65563344
313	25.62299184
314	25.60347147
315	25.60110643
316	25.58393494
317	25.56374857
318	25.52226701
319	25.50266777
320	25.48609393
321	25.44376496
322	25.42140435
323	25.39860262
324	25.38076472
325	25.34072972
326	25.31108038
327	25.28959842
328	25.270218
329	25.24560269
330	25.20976345
331	25.19005178
332	25.16727466
333	25.12502859
334	25.10716576
335	25.09067664
336	25.07159698
337	25.02570199
338	24.98694296
339	24.96129549
340	24.94019607
341	24.9248032
342	24.90798688
343	24.89363009
344	24.87459466
345	24.85399854
346	24.84007886
347	24.83505848
348	24.81780961
349	24.79726074
350	24.76442948
351	24.73029371
352	24.70702693
353	24.66407441
354	24.63855821
355	24.60328552
356	24.58347246
357	24.57141693
358	24.54516341
359	24.50032404
360	24.46196845
361	24.44009061
362	24.4228894
363	24.38842971
364	24.36232764
365	24.34825056
366	24.3139669
367	24.28416902
368	24.26387211
369	24.24792474
370	24.23115286
371	24.21135016
372	24.18437207
373	24.14983257
374	24.12186179
375	24.10050198
376	24.07376052
377	24.05162219
378	24.0282122
379	23.99524192
380	23.98010701
381	23.9701004
382	23.9590338
383	23.9388821
384	23.92449973
385	23.90468369
386	23.8784329
387	23.85066672
388	23.83215476
389	23.81059515
390	23.80396027
391	23.78460895
392	23.75612307
393	23.74016185
394	23.72816806
395	23.70404812
396	23.67855886
397	23.65702057
398	23.61792649
399	23.60581444
400	23.57663129
401	23.54269036
402	23.52885817
403	23.50388005
404	23.49205054
405	23.47212322
406	23.45740699
407	23.44244853
408	23.4225427
409	23.41161383
410	23.39916866
411	23.38210657
412	23.34905284
413	23.32045899
414	23.2853122
415	23.27097282
416	23.25101089
417	23.24187305
418	23.22544371
419	23.2016805
420	23.18603567
421	23.16072422
422	23.14444895
423	23.13074889
424	23.10884208
425	23.1082325
426	23.09753423
427	23.08570573
428	23.07172836
429	23.05430435
430	23.0334322
431	23.01700956
432	23.00407241
433	22.98486491
434	22.98392695
435	22.96717361
436	22.95336064
437	22.94480895
438	22.93148014
439	22.92070884
440	22.90794108
441	22.89582235
442	22.88268182
443	22.86773363
444	22.84452431
445	22.83414466
446	22.81810103
447	22.80211587
448	22.78233883
449	22.75711282
450	22.74778187
451	22.73609904
452	22.72232309
453	22.70581394
454	22.68645065
455	22.66600719
456	22.64599211
457	22.60429538
458	22.57704298
459	22.55233754
460	22.53195883
461	22.51736145
462	22.48252164
463	22.44977135
464	22.43730043
465	22.41354158
466	22.39869223
467	22.39075152
468	22.38417483
469	22.36804661
470	22.34521662
471	22.33748434
472	22.32566778
473	22.30353965
474	22.29085871
475	22.28097809
476	22.26096761
477	22.23785141
478	22.22627689
479	22.20972746
480	22.19778688
481	22.18185467
482	22.15769228
483	22.14960056
484	22.12351417
485	22.12144676
486	22.11200165
487	22.10114196
488	22.07211591
489	22.05000691
490	22.02768818
491	22.01527374
492	22.00005474
493	21.99174235
494	21.99093837
495	21.97293585
496	21.96197355
497	21.93798787
498	21.92426856
499	21.91174722
500	21.8947834
501	21.88079517
502	21.86687107
503	21.85782334
504	21.84876165
505	21.83641301
506	21.81658322
507	21.79627854
508	21.78798272
509	21.76706383
510	21.75895742
511	21.74719666
512	21.73897191
513	21.73763699
514	21.72765888
515	21.71298951
516	21.69432402
517	21.68767607
518	21.66534635
519	21.65563205
520	21.63711078
521	21.61964274
522	21.61192507
523	21.60004835
524	21.59038631
525	21.57284665
526	21.56085716
527	21.55288813
528	21.54352017
529	21.52015546
530	21.50565652
531	21.49412994
532	21.46664032
533	21.44623569
534	21.43359664
535	21.4257456
536	21.41810399
537	21.39469722
538	21.38229375
539	21.36949525
540	21.36175421
541	21.35346399
542	21.34258411
